,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
312,2000,Tennessee,50760.0,21.6,4.0,22.2,52.1
313,2000,Texas,57478.0,15.4,6.5,21.9,56.2
314,2000,United States,62512.0,17.6,5.1,24.3,52.6
315,2000,Utah,70789.0,9.6,3.3,18.4,68.8
316,2000,Vermont,58945.0,16.5,4.9,30.0,48.5
317,2000,Virginia,70213.0,16.1,5.3,23.3,55.3
318,2000,Washington,63308.0,14.8,5.9,28.8,50.5
319,2000,West Virginia,43785.0,23.1,3.0,25.3,48.5
320,2000,Wisconsin,67124.0,18.1,6.0,27.1,48.8
321,2000,Wyoming,58997.0,18.2,5.6,25.1,51.1
322,2001,Alabama,50895.0,17.4,6.5,23.4,52.8
323,2001,Alaska,83034.0,19.0,7.2,26.9,46.9
324,2001,All States and DC,,17.4,5.7,24.7,51.3
325,2001,Arizona,61815.0,15.5,6.0,25.4,53.0
326,2001,Arkansas,48259.0,20.1,5.4,23.6,50.8
327,2001,California,68413.0,12.1,5.1,25.9,56.9
328,2001,Colorado,71503.0,15.4,6.9,26.0,51.7
329,2001,Connecticut,77221.0,14.9,5.8,28.9,50.5
330,2001,Delaware,71800.0,19.0,6.0,25.4,49.5
331,2001,District of Columbia,59593.0,12.2,8.5,23.3,55.9
332,2001,Florida,52720.0,17.5,4.9,27.5,50.1
333,2001,Georgia,61630.0,17.5,6.1,21.2,55.1
334,2001,Guam,,26.5,4.7,11.8,57.0
335,2001,Hawaii,68669.0,16.5,4.0,24.0,55.5
336,2001,Idaho,55355.0,15.2,4.4,24.4,56.0
337,2001,Illinois,66833.0,17.4,6.3,23.7,52.5
338,2001,Indiana,58449.0,21.5,5.9,22.6,50.0
339,2001,Iowa,59314.0,17.0,5.1,24.6,53.2
340,2001,Kansas,59949.0,16.9,5.4,24.3,53.5
341,2001,Kentucky,55638.0,26.2,4.7,23.6,45.5
342,2001,Louisiana,48234.0,19.0,5.6,19.9,55.4
343,2001,Maine,52997.0,18.2,5.7,31.9,44.2
344,2001,Maryland,77486.0,15.3,5.8,24.7,54.2
345,2001,Massachusetts,75637.0,14.8,4.7,29.9,50.6
346,2001,Michigan,65206.0,19.7,5.9,25.7,48.7
347,2001,Minnesota,76257.0,16.9,5.3,28.3,49.5
348,2001,Mississippi,43659.0,19.6,5.7,21.1,53.6
349,2001,Missouri,59839.0,20.0,5.9,24.5,49.6
350,2001,Montana,46503.0,16.6,5.4,27.3,50.8
351,2001,Nebraska,63128.0,15.8,4.4,22.3,57.4
352,2001,Nevada,65722.0,20.8,6.1,26.2,46.9
353,2001,New Hampshire,74303.0,19.0,5.1,28.8,47.1
354,2001,New Jersey,74940.0,15.0,6.1,26.2,52.7
355,2001,New Mexico,47948.0,16.1,7.7,24.9,51.2
356,2001,New York,60961.0,16.6,6.6,23.8,53.0
357,2001,North Carolina,55240.0,21.3,4.5,23.8,50.4
358,2001,North Dakota,51811.0,15.6,6.5,24.8,53.1
359,2001,Ohio,60485.0,21.9,5.8,23.4,49.0
360,2001,Oklahoma,51545.0,23.1,5.6,21.8,49.5
361,2001,Oregon,59744.0,15.0,5.5,28.7,50.9
362,2001,Pennsylvania,62966.0,18.9,5.6,24.2,51.3
363,2001,Puerto Rico,,8.0,4.5,17.0,70.5
364,2001,Rhode Island,66185.0,17.6,6.3,28.9,47.3
365,2001,South Carolina,54624.0,19.3,6.7,21.3,52.6
366,2001,South Dakota,57425.0,16.6,5.8,25.2,52.5
367,2001,Tennessee,51797.0,19.7,4.7,19.1,56.6
368,2001,Texas,59146.0,15.5,6.9,20.7,56.9
369,2001,United States,61126.0,17.4,5.6,24.7,51.8
370,2001,Utah,68529.0,9.1,4.1,17.1,69.7
371,2001,Vermont,59050.0,16.9,5.5,30.0,47.6
372,2001,Virgin Islands,,6.9,2.7,12.6,77.8
373,2001,Virginia,72725.0,17.9,4.7,24.7,52.8
374,2001,Washington,61505.0,16.4,6.0,27.6,49.9
375,2001,West Virginia,42952.0,23.5,4.6,24.7,47.1
376,2001,Wisconsin,65639.0,18.2,5.4,28.7,47.8
377,2001,Wyoming,57494.0,17.3,4.9,26.0,51.9
378,2002,Alabama,53586.0,19.2,5.2,23.2,52.4
379,2002,Alaska,75206.0,21.9,7.4,25.6,45.0
380,2002,All States and DC,,17.8,5.0,24.7,52.0
381,2002,Arizona,56623.0,17.8,5.6,24.4,52.2
382,2002,Arkansas,46153.0,21.5,4.8,24.9,48.8
383,2002,California,67600.0,11.1,5.3,23.9,59.6
384,2002,Colorado,68822.0,15.6,4.7,25.6,54.0
385,2002,Connecticut,76080.0,14.4,5.0,30.4,50.2
386,2002,Delaware,70754.0,19.5,5.1,26.3,49.0
387,2002,District of Columbia,55677.0,13.4,7.0,20.4,59.2
388,2002,Florida,54186.0,17.8,4.2,25.1,52.9
389,2002,Georgia,61191.0,17.7,5.6,22.4,54.3
390,2002,Guam,,24.8,7.1,15.5,52.6
391,2002,Hawaii,67409.0,17.1,3.9,24.3,54.7
392,2002,Idaho,53746.0,16.3,4.3,24.2,55.2
393,2002,Illinois,60864.0,17.8,5.1,22.9,54.3
394,2002,Indiana,58494.0,23.0,4.7,23.3,49.1
395,2002,Iowa,58497.0,18.8,4.3,23.4,53.4
396,2002,Kansas,60734.0,17.6,4.5,24.3,53.6
397,2002,Kentucky,52388.0,29.1,3.5,22.0,45.5
398,2002,Louisiana,48463.0,19.0,4.9,19.2,57.0
399,2002,Maine,52518.0,19.6,4.0,33.4,43.1
400,2002,Maryland,80383.0,16.3,5.6,23.7,54.4
401,2002,Massachusetts,71046.0,14.4,4.5,29.1,52.0
402,2002,Michigan,60871.0,19.3,4.8,27.1,48.7
403,2002,Minnesota,77839.0,16.2,5.5,26.8,51.4
404,2002,Mississippi,44009.0,21.4,5.9,20.0,52.7
405,2002,Missouri,60958.0,22.0,4.5,25.5,48.0
406,2002,Montana,49642.0,15.7,5.5,26.1,52.7
407,2002,Nebraska,60987.0,17.8,4.9,22.9,54.4
408,2002,Nevada,64068.0,21.1,5.0,24.7,49.2
409,2002,New Hampshire,78836.0,18.6,4.6,30.2,46.6
410,2002,New Jersey,77762.0,14.0,5.0,26.0,55.0
411,2002,New Mexico,50528.0,15.0,6.2,26.0,52.8
412,2002,New York,59804.0,16.9,5.4,25.0,52.7
413,2002,North Carolina,52036.0,21.2,5.1,24.1,49.7
414,2002,North Dakota,51587.0,16.4,5.1,26.5,52.0
415,2002,Ohio,60827.0,21.4,5.2,24.7,48.7
416,2002,Oklahoma,51955.0,21.8,4.8,21.8,51.6
417,2002,Oregon,59570.0,17.3,5.1,28.1,49.4
418,2002,Pennsylvania,60562.0,19.5,5.1,25.7,49.7
419,2002,Puerto Rico,,8.8,4.4,16.9,69.8
420,2002,Rhode Island,60447.0,17.5,4.9,29.6,48.0
421,2002,South Carolina,53884.0,21.0,5.6,22.6,50.9
422,2002,South Dakota,53971.0,17.5,5.1,22.4,55.0
423,2002,Tennessee,52770.0,22.9,4.9,18.7,53.6
424,2002,Texas,57215.0,16.6,6.2,20.9,56.2
425,2002,United States,60435.0,17.8,5.0,24.4,52.3
426,2002,Utah,68205.0,9.9,2.8,17.1,70.1
427,2002,Vermont,61276.0,16.7,4.4,32.3,46.5
